SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
NEILSTON,NEILSTN,NEI,MSN,247903,657061,100152
NEILSTON TURNBACK SIDING,NEILTBS,0,MCA,247667,656938,888888
NELSON,NLSN,NEL,MSN,386025,437647,999999
NESTON,NESTON,NES,MSN,329243,377713,999999
NETHERFIELD,NTHRFLD,NET,MSN,461909,340845,999999
NETHERFIELD JN,NTHRFLJ,0,MCA,461395,340718,999999
NETHERTOWN,NETHRTN,NRT,MSN,298606,507881,999999
NETLEY,NETLEY,NTL,MSN,446398,108613,999999
NETLEY EMERGENCY TLG XOVER,NETLETC,0,MCA,446398,108613,999999
NETW.RAIL/ET OPS BOUNDARY,CHUNEOB,0,MCA,619640,137874,999999
NEVILLE H. EAST JN,NEVLEJN,0,MCA,433330,433217,999999
NEVILLE H. WEST JN,NEVLWJN,0,MCA,431731,433209,999999
